Data,Preço - petróleo bruto - Brent (FOB)
2024-04-29,8.844e-09
2024-04-26,8.994999999999999e-09
2024-04-25,8.8099999999999e-09
2024-04-24,8.902e-09
2024-04-23,8.829e-09
2024-04-22,8.73e-09
2024-04-19,8.796e-09
2024-04-18,8.834e-09
2024-04-17,8.954e-09
2024-04-16,9.129e-09
2024-04-15,9.084e-09
2024-04-12,9.312e-09
2024-04-11,9.149e-09
2024-04-10,9.157e-09
2024-04-09,9.213e-09
2024-04-08,9.173e-09
2024-04-05,9.281e-09
2024-04-04,9.032e-09
2024-04-03,9.06e-09
2024-04-02,8.763e-09
2024-03-28,8.616999999999999e-09
2024-03-27,8.494e-09
2024-03-26,8.590999999999999e-09
2024-03-25,8.618e-09
2024-03-22,8.486999999999999e-09
2024-03-21,8.492e-09
2024-03-20,8.577e-09
2024-03-19,8.736e-09
2024-03-18,8.647000000000001e-09
2024-03-15,8.539e-09
2024-03-14,8.6159999999999e-09
2024-03-13,8.395e-09
2024-03-12,8.366e-09
2024-03-11,8.344e-09
2024-03-08,8.429e-09
2024-03-07,8.488000000000001e-09
2024-03-06,8.659e-09
2024-03-05,8.581999999999999e-09
2024-03-04,8.658e-09
2024-03-01,8.482000000000001e-09
2024-02-29,8.457000000000001e-09
2024-02-28,8.408e-09
2024-02-27,8.380000000000001e-09
2024-02-26,8.401e-09
2024-02-23,8.418e-09
2024-02-22,8.584e-09
2024-02-21,8.477e-09
2024-02-20,8.478e-09
2024-02-19,8.5519999999999e-09
2024-02-16,8.488000000000001e-09
2024-02-15,8.433e-09
2024-02-14,8.4409999999999e-09
2024-02-13,8.472e-09
2024-02-12,8.387999999999999e-09
2024-02-09,8.3579999999999e-09
2024-02-08,8.301e-09
2024-02-07,8.118e-09
2024-02-06,8.046e-09
2024-02-05,7.929999999999999e-09
2024-02-02,7.953999999999998e-09
2024-02-01,8.219999999999998e-09
2024-01-31,8.298e-09
2024-01-30,8.413999999999998e-09
2024-01-29,8.399e-09
2024-01-26,8.333999999999999e-09
2024-01-25,8.233e-09
2024-01-24,8.215000000000001e-09
2024-01-23,8.203999999999999e-09
2024-01-22,8.170000000000001e-09
2024-01-19,8.071e-09
2024-01-18,8.104e-09
2024-01-17,7.888e-09
2024-01-16,8.015e-09
2024-01-15,7.976000000000001e-09
2024-01-12,7.989e-09
2024-01-11,8.0209999999999e-09
2024-01-10,7.8459999999999e-09
2024-01-09,7.7969999999999e-09
2024-01-08,7.547e-09
2024-01-05,7.830999999999999e-09
2024-01-04,7.579000000000001e-09
2024-01-03,7.718e-09
2024-01-02,7.624e-09
2023-12-29,7.7689999999999e-09
2023-12-28,7.904e-09
2023-12-27,8.097000000000001e-09
2023-12-26,8.023000000000002e-09
2023-12-22,8.023000000000002e-09
2023-12-21,8.073e-09
2023-12-20,8.11e-09
2023-12-19,7.982e-09
2023-12-18,7.889e-09
2023-12-15,7.684e-09
2023-12-14,7.705e-09
2023-12-13,7.413999999999998e-09
2023-12-12,7.411000000000001e-09
2023-12-11,7.5749999999999e-09
2023-12-08,7.594e-09
2023-12-07,7.421e-09
2023-12-06,7.4329999999999e-09
2023-12-05,7.7269999999999e-09
2023-12-04,7.816e-09
2023-12-01,7.872000000000001e-09
2023-11-30,8.172e-09
2023-11-29,8.298e-09
2023-11-28,8.166e-09
2023-11-27,7.949e-09
2023-11-24,7.982e-09
2023-11-23,8.085e-09
2023-11-22,8.176e-09
2023-11-21,8.241999999999999e-09
2023-11-20,8.325e-09
2023-11-17,8.122000000000002e-09
2023-11-16,7.7729999999999e-09
2023-11-15,8.240000000000001e-09
2023-11-14,8.42e-09
2023-11-13,8.409000000000001e-09
2023-11-10,8.366e-09
2023-11-09,8.1739999999999e-09
2023-11-08,8.146e-09
2023-11-07,8.342999999999999e-09
2023-11-06,8.730999999999999e-09
2023-10-30,9.073e-09
2023-10-27,9.073e-09
2023-10-26,8.845e-09
2023-10-25,9.014e-09
2023-10-24,8.800000000000001e-09
2023-10-23,9.188e-09
2023-10-20,9.372e-09
2023-10-19,9.312e-09
2023-10-18,9.199e-09
2023-10-17,9.252e-09
2023-10-16,9.099e-09
2023-10-13,9.433e-09
2023-10-12,8.84e-09
2023-10-11,8.758e-09
2023-10-10,9.07e-09
2023-10-09,9.137e-09
2023-10-06,8.786e-09
2023-10-05,8.828e-09
2023-10-04,8.983e-09
2023-10-03,9.446e-09
2023-10-02,9.121e-09
2023-09-29,9.586e-09
2023-09-28,9.655e-09
2023-09-27,9.71e-09
2023-09-26,9.446e-09
2023-09-25,9.401e-09
2023-09-22,9.399e-09
2023-09-21,9.37e-09
2023-09-20,9.4559999999999e-09
2023-09-19,9.611e-09
2023-09-18,9.595000000000001e-09
2023-09-15,9.555e-09
2023-09-14,9.5199999999999e-09
2023-09-13,9.304e-09
2023-09-12,9.358e-09
2023-09-11,9.197e-09
